id,mul_id
CB,1
CBS,2
CC.AH,5
CC.CB,5
CC.CC,5
CC.CDF,5
CC.CH,5
CC.CHG,5
CC.CHO,5
CC.CR,5
CC.CRC,5
CC.DC,5
CC.LCC,5
CC.LG,5
CC.LL,5
CC.pm,5
CC.SD,5
CC.SIAC,5
CC.SIJ,5
CC.SIS,5
CC.SSB,5
CC.TG,5
CC.TL,5
CC.VCR,5
CC.WHO,5
CCom,5
CH,5
ChP,5
CRep,5
CTL,5
DoL,5
LR,5
SCon,5
SCW,5
SIMA,5
SIS,5
SKC,5
SKP,5
SP,5
SSUP,5
ST,5
TFR,5
TGU,5
TU,5
CC.MAC,5
CC,5
CCC,6
CCO,7
CIR,9
CFM.BG,10
CFM.FT,10
CFM.Kl,10
CFM.MaC,10
CFM.MiKr,10
CFM.MiKrKl,10
CFM.P,10
CFM.PBG,10
CFM.S,10
CFM.SmJ,10
CFM,10
CGB,11
CGS,12
CHH,13
CIH,14
CJF.TA,15
CJF,15
CMG,16
CNC,17
BLORD,18
CS.EC,18
MRB,18
CS,18
CSA,19
CSJ,20
CSR,21
CSV,22
CWIE,23
CW,24
CWI,25
CWOV,26
AB,27
AC,27
AG,27
DC.AL,27
DC.ALAG,27
DC.AR,27
DC.ATL,27
DC.BR,27
DC.DR,27
DC.GEN,27
DC.GHO,27
DC.GR,27
DC.I,27
DC.LV,27
DC.NS,27
DC.NSR,27
DC.O,27
DC.PH,27
DC.pm,27
DC.PR,27
DC.RR,27
DC.RYU,27
DC.SHIN,27
DC.SL,27
DC.SZC,27
OMA,27
PoR,27
RON,27
DC,27
CGB.FRR,28
FRR,28
FS.AC,29
FS.ACAD,29
FS.AH,29
FS.CH,29
FS.CL,29
FS.CMB,29
FS.CMM,29
FS.CR,29
FS.CrMM,29
FS.DBG,29
FS.DL,29
FS.DLC,29
FS.DMM,29
FS.NIC,29
FS.pm,29
FS.PMG,29
FS.PMM,29
FS.RC,29
FS.RG,29
FS.RMB,29
FS.RR,29
FS.SF,29
FS.TL,29
Mara,29
MC,29
ME,29
UHC,29
FS,29
DoO,30
DS,30
DT,30
FoO,30
FWL.AD,30
FWL.AH,30
FWL.BD,30
FWL.CG,30
FWL.DA,30
FWL.FO,30
FWL.FWG,30
FWL.FWL,30
FWL.KIS,30
FWL.MG,30
FWL.MM,30
FWL.OG,30
FWL.OH,30
FWL.PG,30
FWL.pm,30
FWL.RCG,30
FWL.RH,30
FWL.SD,30
FWL.SHI,30
FWL.SL,30
FWL.TR,30
FWLR,30
MA,30
MRep,30
OZP,30
SHC,30
AA,30
CvW,30
FWL,30
MERC.KH,31
LA.AG,60
LA.AlG,32
LA.AlJ,32
LA.DG,60
LA.HG,60
LA.LG,60
LA.LR,60
LA.M,60
LA.OR,60
LA.pm,60
LA.RG,60
LA.SR,60
LA.T,60
LA.YR,60
ARDC,32
MOC.CC,33
MOC.CF,33
MOC.MH,33
MOC.MRG,33
MOC.pm,33
MOC.RC,33
MOC,33
MalCon,34
MBA,34
MERC.ELH,34
MERC.GDL,34
MERC.NH,34
MERC.pm,34
MERC.SI,34
MRBC,34
MG,34
MERC,34
MH,35
OA,36
BH,38
GV,38
MV,38
PIR,38
RA.OA,39
RA,39
RD,40
FID,41
MiC,41
PC,41
ROS.FID,41
ROS.pm,41
RR,41
RTR,41
SA,41
ShA,41
TTU,41
ROS,41
FFR,42
RPG,42
RWR,42
RWR.HG,42
SL.R,43
NIOPS,57
SL.2,46
TC.PL,47
TC.pm,47
THW,47
TC,47
WOB.PM,48
WOB.SD,48
WOB,48
MERC.WD,49
GDL,55
GL,55
IE,55
IoS,60
IS.pm,55
KP,55
MalC,55
REB,55
TCC,55
IS,55
CLAN.IS,56
Alf,57
ARC,57
ARD,57
AXP,57
BoS,57
CCon,57
CI,57
DP,57
EF,57
FCo,57
FOR,57
HL,57
IND,57
IP,57
JF,57
KE,57
LL,57
MM,57
NC,57
NCR,57
NDC,57
NOC,57
OC,57
Periphery,57
Periphery.CM,57
Periphery.DD,57
Periphery.Deep,57
Periphery.HR,57
Periphery.ME,57
Periphery.MW,57
Periphery.OS,57
Periphery.R,57
RIM,57
RT,57
RU,57
TB,57
TD,57
THa,57
TiC,57
UC,57
DA.pm,59
DA,59
BC,60
FoS,60
PD,60
ARL,60
LA,60
DO,67
OP.FO,67
OP.OG,67
OP.OH,67
TP,67
OP,67
PG,72
PR,72
RF.pm,72
RFS,72
RP,72
RF,72
DGM,74
MCM,74
MSC.AD,74
MSC.AH,74
MSC.FWG,74
MSC.FWL,74
MSC.MM,74
MSC.pm,74
SC,74
MSC,74
DTA.pm,75
DTA,75
RCM.pm,76
RCM,76
FVC,77
CDP,78
CSL,80
CDS,82
SIC,83
FC.FCC,84
FC.pm,84
FC,84
CLAN.GC,85
CLAN.HW,85
BAN,86
SOC,86
ACPS,87
TA,87
TH.pm,87
WA,87
TH,87
AE,88
RWR.TC,88
SL,90
SE,91
CEI,92
PP,94
SLIE,94
FR,95
SL3,96
SL3.CJF,97
SL3.CSJ,98
CP,100
FWL.CP,100
CWE,101
AML,102
TamP,104
VesMar,105
VSM,105
ABN,-1
CM,-1
DIS,-1
NONE,-1
PSI,-1
UND,-1
CLAN,56;85
Stone,-1
